CALLSIGN,IS_NEW_ACCOUNT,IS_REMOVED_ACCOUNT,DBA_CHANGED,WEBSITE_CHANGED,OWNERS_CHANGED,BALANCE_CHANGED,PREV_BALANCE,CURR_BALANCE,BALANCE_DELTA,BALANCE_PCT_DELTA_PCT,DBA_CHANGE,WEBSITE_CHANGE,OWNERS_CHANGE,PRODUCT_FLIPS_JSON,ANY_CHANGE
catenalabs,false,false,false,false,false,true,"42,147,502.67","21,570,519.09","-20,576,983.58",-48.82,,,,,true
luma-ai,false,false,false,false,false,true,"28,577,215.14","42,618,717.46","14,041,502.32",49.14,,,,,true
tripspin,false,false,false,false,false,true,"393,340.68","13,039,852.96","12,646,512.28","3,215.15",,,,"[
  {
    ""from"": 0,
    ""product"": ""Treasury"",
    ""to"": 1
  }
]",true
all-hands-ai,false,false,false,false,false,true,"18,191,062.58","5,904,166.24","-12,286,896.34",-67.54,,,,,true
arb-gaming-llc,false,false,false,false,false,true,"11,770,206.57","2,300,588.45","-9,469,618.12",-80.45,,,,,true
vercept-ai-inc,false,false,false,false,false,true,"53,369,503.24","44,269,852.79","-9,099,650.45",-17.05,,,,,true
int18,false,false,false,false,false,true,"36,727,840.75","28,889,421.44","-7,838,419.31",-21.34,,,,,true
rilix,false,false,false,false,false,true,"4,938,379.04","326,619.75","-4,611,759.29",-93.39,,,,,true
corgi-insurance-services-inc,false,false,false,false,false,true,"7,715,630.94","11,808,633.75","4,093,002.81",53.05,,,,,true
aidkit,false,false,false,false,false,true,"2,572,159.8","6,292,446.5","3,720,286.7",144.64,,,,,true
suno,false,false,false,false,false,true,"7,247,664.74","3,612,510.21","-3,635,154.53",-50.16,,,,"[
  {
    ""from"": 1,
    ""product"": ""Bill Pay"",
    ""to"": 0
  }
]",true
eleven-labs,false,false,false,false,false,true,"77,028,941.23","80,514,295.95","3,485,354.72",4.52,,,,,true
uniswap-labs,false,false,false,false,false,true,"29,572,268.77","26,662,249.53","-2,910,019.24",-9.84,,,,"[
  {
    ""from"": 0,
    ""product"": ""FX"",
    ""to"": 1
  }
]",true
arb-interactive-inc,false,false,false,false,false,true,"134,567.56","3,028,067.56","2,893,500","2,150.22",,,,,true
lovable-labs-incorporated,false,false,false,false,false,true,"26,069,518.13","23,269,403.6","-2,800,114.53",-10.74,,,,,true
phantom-app,false,false,false,false,false,true,"120,173,268.93","117,728,854.49","-2,444,414.44",-2.03,,,,,true
apex-alpha,false,false,false,false,false,true,"19,676,970.28","17,426,018.21","-2,250,952.07",-11.44,,,,"[
  {
    ""from"": 0,
    ""product"": ""Treasury"",
    ""to"": 1
  }
]",true
sublime,false,false,false,false,false,true,"54,497,619.41","52,544,466.07","-1,953,153.34",-3.58,,,,,true
flyio,false,false,false,false,false,true,"16,915,749.03","14,965,952.4","-1,949,796.63",-11.53,,,,"[
  {
    ""from"": 0,
    ""product"": ""Bill Pay"",
    ""to"": 1
  }
]",true
ahimsa,false,false,false,false,false,true,"2,855,539.35","4,782,953.07","1,927,413.72",67.5,,,,,true
nocapinc,false,false,false,false,false,true,"6,293,614.4","4,398,551.9","-1,895,062.5",-30.11,,,,,true
aalo,false,false,false,false,false,true,"119,026,671.42","117,157,444.64","-1,869,226.78",-1.57,,,,,true
matonee-inc,false,false,false,false,false,true,"7,358,495.88","5,581,830.79","-1,776,665.09",-24.14,,,,,true
semgrep-inc,false,false,false,false,false,true,"2,902,331.64","1,297,349.13","-1,604,982.51",-55.3,,,,,true
bitwise,false,false,false,false,false,true,"19,672,177.3","18,074,072.75","-1,598,104.55",-8.12,,,,,true
create-wellness,false,false,false,false,false,true,"14,625,077.53","16,149,920.01","1,524,842.48",10.43,,,,,true
mighty,false,false,false,false,false,true,"30,734,149.24","32,191,595.02","1,457,445.78",4.74,,,,,true
breedr-inc,false,false,false,false,false,true,"230,084.64","1,638,778.79","1,408,694.15",612.25,,,,,true
physical-intelligence,false,false,false,false,false,true,"2,918,344.46","1,663,008.38","-1,255,336.08",-43.02,,,,,true
fliff,false,false,false,false,false,true,"51,488,730.7","50,367,895.51","-1,120,835.19",-2.18,,,,,true
socket,false,false,false,false,false,true,"50,127,676.72","49,188,143.87","-939,532.85",-1.87,,,,"[
  {
    ""from"": 0,
    ""product"": ""Bill Pay"",
    ""to"": 1
  }
]",true
liquid-intelligence-labs,false,false,false,false,false,true,"5,563,951.5","6,491,997.47","928,045.97",16.68,,,,,true
