CALLSIGN,DBA,DOMAIN_ROOT,BENEFICIAL_OWNERS
97labs,97 Labs Inc.,outdoorly.com,"[
  ""Theo Satloff""
]"
aalo,Aalo Holdings Inc.,,"[
  ""Matthew Loszak""
]"
accio,Accio DBA Jump,jumpapp.com,"[
  ""Parker Ence"",
  ""Timothy Chaves""
]"
accord,"Ivo AI, Inc.",ivo.ai,"[
  ""Min-Kyu Jung""
]"
addchat,Addchat,addchatapp.com,"[
  ""Clément Naous""
]"
adept,Adept Labs,usemiso.com,"[
  ""Maitham Dib""
]"
adyton,Adyton,adytonpbc.com,"[
  ""James Alexander Boyd"",
  ""Joshua Wilson""
]"
agentiqflow,Agentiqflow,,"[
  ""Anshu Sharma""
]"
agi-inc,AGI Inc,theagi.company,"[
  ""Divyansh Garg""
]"
ahimsa,Ahimsa Foundation,ahimsafdn.org,"[
  ""Shilpi Shah"",
  ""Shaleen Shah""
]"
aidkit,AidKit,aidkit.com,"[
  ""Jess Andrew Marshall"",
  ""Mark Newhouse"",
  ""Katrina Van Gasse"",
  ""Benjamin Newhouse""
]"
aislehq,AISLE,aisle.com,"[
  ""Ondrej Vlcek""
]"
akave,Akave,akave.ai,"[
  ""Daniel Leon"",
  ""Angelo Schalley"",
  ""Stefaan Vervaet""
]"
aktus,Aktus,aktus.ai,"[
  ""Adam Rian""
]"
albustech,"First Batch, Inc.",firstbatch.xyz,"[
  ""Kerim Kaya"",
  ""Okan Sencan""
]"
algorized,Algorized Inc,algorized.com,"[
  ""Patrick Ryan"",
  ""Natalia Lopareva""
]"
all-hands-ai,"All Hands AI, Inc",rbren.io,"[
  ""Robert Brennan"",
  ""Xingyao Wang""
]"
allie-ai-holdings-limited,Allie AI Holdings Limited,alliesystems.com,"[
  ""Oscar Alexander Sandoval Paz""
]"
aloeidentity,Aloe Identity,aloeidentity.com,"[
  ""Zachary Blum"",
  ""Jesse Endahl""
]"
alpenglow,Alpenglow Impact,,"[
  ""Khalil Fuller""
]"
andrena,"Andrena, Inc.",andrena.com,"[
  ""James Smits"",
  ""Neil Chatterjee"",
  ""Mark Wang""
]"
animation,Animation Inc.,animation.inc,"[
  ""Siarhei Hanchar"",
  ""Eugene Nevgen""
]"
anishdassarma,"Reinforce Labs, Inc.",,"[
  ""Lukas Tencer"",
  ""Anish Das Sarma""
]"
apex-alpha,Apex Alpha,apex.team,"[
  ""Denis Mars""
]"
applied37,a37,a37.ai,"[
  ""Rohan Kalahasty"",
  ""Brian Zhou""
]"
arb-gaming-llc,ARB Gaming LLC,arbgamingllc.com,"[
  ""Patrick Fechtmeyer"",
  ""Junwei Ye""
]"
arb-interactive-inc,ARB Interactive INC,arbinteractive.com,"[
  ""Patrick Fechtmeyer"",
  ""Junwei Ye""
]"
archer-faris-inc,"Archer Faris, Inc.",archerfaris.com,"[
  ""Rami Habal""
]"
arkenstone,Arkenstone Defense,arkenstonedefense.com,"[
  ""Kathleen Swanson"",
  ""William Treseder"",
  ""Rachel Olney"",
  ""Peter Dixon""
]"
arlk-co,Filed,usemagic.co,"[
  ""Atul Ramachandran"",
  ""Leroy Kerry""
]"
astrius-inc,"CollectWise, Inc.",astrius.co,"[
  ""Sean O'Brien""
]"
atticus-xyz,Atticus,,"[
  ""Jacob Hirshman"",
  ""Owen Rapaport""
]"
aurelius-systems,Aurelius Systems,,"[
  ""Michael LaFramboise"",
  ""John Marmaduke""
]"
authzed,"Authzed, Inc.",authzed.com,"[
  ""Jacob Moshenko"",
  ""Joseph Schorr"",
  ""James Zelinskie""
]"
axiom-quant,Axiom Quant,,"[
  ""Letong Hong""
]"
b24,"B24, INC.",,"[
  ""Benjamin Pasternak""
]"
baselane-skylight,Baselane,baselane.com,"[
  ""Jacob Port""
]"
beeps,the beeps and boops company,beeps.co,"[
  ""Joseph Parsons""
]"
best-friend-finance-llc,"Best Friend Finance, LLC",ugly.cash,"[
  ""Nevin Freeman""
]"
